scientificName,authority,subtaxonAuthority,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,species,hybrid,subspecies,variety,origin,provincialStatus,nationalStatus,reportingStatus,observediNat,eventDate,reportedBy,collectionList,accessionNumber,gbifID,basisOfHistoricalRecord,firstObservediNat,observer,iNatLink,notes,ID,statsCode
Sanicula graveolens,Poepp. ex DC.,,Sierra sanicle,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Apiales,,NA,Apiaceae,Saniculoideae,Saniculeae,Sanicula,graveolens,,,,native,S4S5,,reported,unobserved,1905-07-08,Matt Fairbarns,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),,NA,list,,,,Hmmm… Perhaps cold-ish mountaintops (on top of Bodega Ridge)? Reported for Mount Sutil,78979,VAS
Sceptridium multifidum,(S.G.Gmel.) Tagawa,,leathery grape fern,Plantae,Tracheophyta,,NA,Polypodiopsida,Ophioglossidae,NA,Ophioglossales,,NA,Ophioglossaceae,Botrychioideae,,Sceptridium,multifidum,,,,native,S5,,reported,unobserved,1979-06-08,Harvey Janszen,RBCM,V097818,1949547079,voucher,,,,,78990,VAS
Silene latifolia,(Mill.) E.H.L. Krause,,white cockle,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Caryophyllales,,NA,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,latifolia,,,,exotic,unlisted,,reported,unobserved,1975-06-28,Angela Wood,RBCM,V097138,1949546413,voucher,,,,,79109,VAS
Sisymbrium altissimum,L.,,tall tumble-mustard,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Sisymbrieae,Sisymbrium,altissimum,,,,exotic,unlisted,,reported,unobserved,1982-08-14,Harvey Janszen,RBCM,V120266,1949569193,voucher,,,,waste ground and garden,56996,VAS
Agoseris heterophylla ssp. heterophylla,Kuntze,,annual agoseris,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Asterales,,NA,Asteraceae,Cichorioideae,Cichorieae,Agoseris,heterophylla,,heterophylla,,native,S5,,confirmed,observed,1988-04-23,Gerald B. Straley,UBC,V194354,NA,voucher,2022-04-30,Andrew Simon,iNat:114122184,"Bluff Park record. Still there? –QC; I think this voucher should be checked; A. grandiflora,a very different species, is known from Bluffs Park (see photo above)",56859,VAS
Alopecurus geniculatus,L.,,water meadow-foxtail,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Alopecurus,geniculatus,,,,exotic,unlisted,,confirmed,observed,1975-08-15,Angela Wood,RBCM,V097685,1949546729,voucher,2022-06-12,Andrew Simon,iNat:121538413,Wet farm field sec-L-57,71140,VAS
Alopecurus pratensis,L.,,meadow-foxtail,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Alopecurus,pratensis,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113802,1949562841,voucher,2022-07-07,Adam Huggins,iNat:125219486,Meadow and farm fields,71141,VAS
Aquilegia formosa,Fisch. ex DC.,,western columbine,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ranunculales,,NA,Ranunculaceae,Thalictroideae,,Aquilegia,formosa,,,,native,S5,,confirmed,observed,1979-06-08,Harvey Janszen,RBCM,V097819,NA,voucher,2020-04-24,Andrew Simon,iNat:43252959,gorge between Mt Galiano and Mt Sutil,48244,VAS
Arrhenatherum elatius ssp. elatius,(L.) P. Beauv. ex J. Presl & C. Presl,,tall oatgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Arrhenatherum,elatius,,elatius,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113797,1949562858,voucher,2023-05-01,Myung Jin (John) Kang,iNat:158696896,reported as Arrhenatherum elatius var. elatius (V113797); Retreat Cove; meadow,239373,VAS
Athysanus pusillus,(Hook.) Greene,,common sandweed,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Arabideae,Athysanus,pusillus,,,,native,S5,,confirmed,observed,1978-03-27,Harvey Janszen,RBCM,V097781,1949546842,voucher,2020-04-09,Andrew Simon,iNat:41788597,,58069,VAS
Avena sativa,L.,,common oat,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Avena,sativa,,,,exotic,unlisted,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113801,1949562868,voucher,2022-07-08,Adam Huggins,iNat:125381639,ruderal waif,57156,VAS
Carex exsiccata,L.H. Bailey,,inflated sedge,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Cyperaceae,Cyperoideae,Cariceae,Carex,exsiccata,,,,native,S5,,confirmed,observed,1978-07-26,,RBCM,V112460,1949561545,voucher,2021-07-01,Andrew Simon,iNat:85291229,Mount Galiano;Carex - Cicuta vegetation; flat ground; organic parent material ; soil development mesisol.,76036,VAS
Carex leporina,L.,,oval sedge,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Cyperaceae,Cyperoideae,Cariceae,Carex,leporina,,,,native,S5,,confirmed,observed,1966-08-24,B. Turner,BABY,131,NA,voucher,2023-05-27,Tyler Innes,iNat:164093668,"reported as C. tracyi; Retreat Cove; Shore drainage, swampy area with Juncus, grasses, Veronica, Ranuculus, open, flat. H.L. Roemer.",76067,VAS
Castilleja attenuata,(A. Gray) T.I. Chuang & Heckard,,narrow-leaved paintbrush,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Lamiales,,NA,Orobanchaceae,,Pedicularideae,Castilleja,attenuata,,,,native,S4,,confirmed,observed,1996-05-21,"Jennifer L. Penny, Charlotte E. Norris, & Harvey Janszen",RBCM,V186361,1949634759,voucher,2020-04-09,Andrew Simon,iNat:41788621,,49341,VAS
Cotoneaster simonsii,Baker,,Himalayan cotoneaster,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Rosales,,NA,Rosaceae,Amygdaloideae,Maleae,Cotoneaster,simonsii,,,,exotic,unlisted,,confirmed,observed,1979-07-09,Harvey Janszen,RBCM,V097881,1949546798,voucher,2022-06-12,Andrew Simon,iNat:121538499,HJ (2001) report of Cotoneaster dielsianusmisapplied to this material (AJ Wright notes these species are difficult to discriminate),76461,VAS
Deschampsia elongata,(Hook.) Munro,,slender hairgrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Deschampsia,elongata,,,,native,S5,,confirmed,observed,1986-08-16,William J. Crins,UBC,V191353,NA,voucher,2020-06-26,Andrew Simon,iNat:52033139,,52722,VAS
Echium vulgare,L.,,viper's bugloss,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Boraginales,,NA,Boraginaceae,Boraginoideae,Lithospermeae,Echium,vulgare,,,,exotic,unlisted,,confirmed,observed,1975-08-04,Angela Wood,RBCM,V097740,1949546755,voucher,2020-06-11,Ed Andrusiak,iNat:50324752,Sturdies Bay; roadside,56174,VAS
Erythranthe sookensis,"B.G. Benedict, Modlisz, Sweigart, N.H. Martin, Ganders & John H. Willis",,shy monkeyflower,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Lamiales,,NA,Phrymaceae,,,Erythranthe,sookensis,,,,native,S5,,confirmed,observed,1975-05-12,Angela Wood,RBCM,V097333,1949546303,voucher,2021-04-15,Andrew Simon,iNat:74104790,a hybrid between E. nasuta and E. microphyllum unrecognized in Nesom's treatment of Erythranthe; identification? –QC,865336,VAS
Festuca rubra ssp. pruinosa,L.,(Hack.) Piper,rock red fescue,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Festuca,rubra,,pruinosa,,native,S5? (2020),,confirmed,observed,1975-05-31,Angela Wood,RBCM,V097105,1949546257,voucher,2022-06-12,Andrew Simon & Frank Lomer,iNat:121538510,,181758,VAS
Fumaria reuteri,Boiss.,,few-flowered fumitory,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Ranunculales,,NA,Papaveraceae,Fumarioideae,Fumarieae,Fumaria,reuteri,,,,exotic,unlisted,,confirmed,observed,1987-05-02,Gerald B. Straley,UBC,V193811,NA,voucher,2022-06-15,Kevin Toomer,iNat:121917751,Burril Road; escapee; Garden escape? remove?,132710,VAS
Gnaphalium palustre,Nutt.,,lowland cudweed,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Asterales,,NA,Asteraceae,Asteroideae,Gnaphalieae,Gnaphalium,palustre,,,,native,S5,,confirmed,observed,1986-08-03,Gerald B. Straley,UBC,V190608,NA,voucher,2021-06-21,Barbara Irving,iNat:84000666,,57980,VAS
Juncus balticus,Willd.,(Rydb.) Snogerup,Baltic rush,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Juncaceae,,,Juncus,balticus,,,,native,S5,,confirmed,observed,1980-04-12,Harvey Janszen,ER 128 Inventory,,NA,list,2022-05-29,Adam Huggins,iNat:119972209,,58347,VAS
Juncus effusus ssp. pacificus,L.,(Fernald & Wiegand) Piper & Beattie,Pacific rush,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Juncaceae,,,Juncus,effusus,,pacificus,,native,S5 (2015),,confirmed,observed,1978-01-01,Christopher Clement,RBCM,V146504A,1949595110,voucher,2020-06-26,Andrew Simon,iNat:52033159,,57108,VAS
Lepidium virginicum ssp. menziesii,L.,(DC.) Thell.,Menzies' pepperweed,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Brassicales,,NA,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,virginicum,,menziesii,,native,S5,,confirmed,observed,1981-05-11,Harvey Janszen,RBCM,V113447,1949562524,voucher,2020-05-31,Andrew Simon,iNat:48091418,"Mt. Sutil, open bluffs; extinct? Good subspecies? –QC",79971,VAS
Luzula multiflora ssp. multiflora,(Ehrh.) Lej.,,many-flowered Wood-rush,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Juncaceae,,,Luzula,multiflora,,multiflora,,exotic,unlisted,,confirmed,observed,1975-06-17,Angela Wood,RBCM,V097271,1949546138,voucher,2020-05-07,Andrew Simon,iNat:45205078,,237139,VAS
Myosotis scorpioides,L.,,European forget-me-not,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Boraginales,,NA,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis,scorpioides,,,,exotic,unlisted,,confirmed,observed,1975-06-12,Angela Wood,RBCM,V097256,1949546132,voucher,2021-06-04,Kristian Sigvardsen,iNat:81637533,"Reeces’ field; wet shore of lake; 48.933333°, -123.45°",49130,VAS
Perideridia gairdneri,(Hook. & Arn.) Mathias,,common yampah,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Apiales,,NA,Apiaceae,Apioideae,Oenantheae,Perideridia,gairdneri,,,,native,S5,,confirmed,observed,1989-08-22,Gerald B. Straley,UBC,V200558,NA,voucher,2022-05-11,Andrew Simon,iNat:116636224,Matt Fairbarns (2016) reports P. montana; Gerald B. Straley P. gairdneri,78434,VAS
Platanthera unalascensis,(Spreng.) Kurtz.,,Alaska rein orchid,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Asparagales,,NA,Orchidaceae,Orchidoideae,Orchideae,Platanthera,unalascensis,,,,native,S5,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113772,1949562893,voucher,2021-06-19,Audrey Irvine-Broque,iNat:85091348,Stockade Hill; dry ridge,840638,VAS
Poa compressa,L.,,Canada bluegrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Poa,compressa,,,,exotic,unlisted,,confirmed,observed,1979-06-28,Harvey Janszen,RBCM,V097865,1949546886,voucher,2022-06-24,Andrew Simon,iNat:123934518,,78636,VAS
Poa secunda,J. Presl,,Sandberg's Bluegrass,Plantae,Tracheophyta,Angiospermae,NA,Liliopsida,,NA,Poales,,NA,Poaceae,Pooideae,Poeae,Poa,secunda,,,,native,S5,,confirmed,observed,1981-04-27,Harvey Janszen,RBCM,V113790,1949562792,voucher,2022-05-07,Andrew Simon,iNat:116033725,reported as Poa secunda ssp. secunda (V113790),57198,VAS
Pseudognaphalium stramineum,(Kunth) Anderb.,,cotton-batting cudweed,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Asterales,,NA,Asteraceae,Asteroideae,Gnaphalieae,Pseudognaphalium,stramineum,,,,native,SU,,confirmed,observed,1905-07-08,Matt Fairbarns,Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report),,NA,list,2021-07-04,Andrew Simon,iNat:85701684,,53089,VAS
Ribes lobbii,A. Gray,,gummy gooseberry,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Saxifragales,,NA,Grossulariaceae,,,Ribes,lobbii,,,,native,S5,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V156689,NA,voucher,2021-07-26,Adam Huggins,iNat:88781542,cut-over area near Bluff Road; garden escape? QC; Harvey suggests it was dispersed by bird,78861,VAS
Symphyotrichum subspicatum,(Nees) G.L. Nesom,,Douglas' Aster,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Asterales,,NA,Asteraceae,Asteroideae,Astereae,Symphyotrichum,subspicatum,,,,exotic,unlisted,,confirmed,observed,1966-08-25,Bruce Bennett,BABY,561,NA,voucher,2020-09-01,Adam Huggins,iNat:58311957,"Symphyotrichum douglasii (sensu Fennamen 2019 ined.) also reported: ""Symphyotrichum douglasii is restricted in British Columbia to the southwestern coast of the province (Figure 39), where it is primarily a species of lacustrine and fluvial shorelines at low elevations of the Georgia Depression. It occurs most frequently along the southeastern coast of Vancouver Island, where it is the most common narrow-leaved Symphyotrichum away from areas of marine or estuarine influence”; HJ (2001) also reports Symphyotrichum chilense × subspicatum",79303,VAS
Trifolium dichotomum,Hook. & Arn.,,Macrae's clover,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Fabales,,NA,Fabaceae,Faboideae,Trifolieae,Trifolium,dichotomum,,,,native,S2 (2021),,confirmed,observed,1981-05-11,Harvey Janszen,RBCM,V113443,NA,voucher,2022-05-11,Andrew Simon,iNat:116636297,,61179,VAS
Viola odorata,L.,,sweet violet,Plantae,Tracheophyta,Angiospermae,NA,Magnoliopsida,,NA,Malpighiales,,NA,Violaceae,,,Viola,odorata,,,,exotic,unlisted,,confirmed,observed,1989-04-06,Gerald B. Straley,UBC,V197486,NA,voucher,2020-03-21,Andrew Simon,iNat:40448514,,55845,VAS